longitude,latitude,severity
-71.068481,42.357738,4
-71.111069,42.350300,3
-71.112198,42.350754,5
-71.122475,42.308746,4
-71.122696,42.308403,3
-71.122734,42.308353,3
-71.123566,42.307205,4
-71.123726,42.306999,2
-71.123825,42.306919,4
-71.144928,42.258183,4
-71.144936,42.258141,4
-71.144905,42.258131,3
-71.144836,42.257019,3
-71.144798,42.256971,4
-71.144814,42.256973,4
-71.144463,42.256531,4
-71.143799,42.265656,3
-71.145287,42.260071,4
-71.145233,42.260075,5
-71.145248,42.259945,4
-71.145035,42.258598,3
-71.143890,42.272831,3
-71.144310,42.272476,3
-71.124863,42.304173,4
-71.124847,42.304314,5
-71.124748,42.305164,4
-71.124794,42.304478,5
-71.124763,42.304539,4
-71.125458,42.302868,5
-71.127968,42.300282,3
