Time,Longitude,Latitude,AccelX,AccelY,AccelZ,OrientX,OrientY,OrientZ,MagneticX,MagneticY,MagneticZ,Bearing,Speed,gpsAccuracy,Entropy
1299444771748,-71.06969452,42.35785675,-0.463092,0.503953,9.42528,217.0,-4.0,-4.0,8.6875,-10.8125,-20.0,76.2891,3.5,6.0,0.968526
1299444775777,-71.06951904,42.35789490,-0.926184,1.07601,10.4196,228.0,-1.0,11.0,10.1875,-10.8125,-18.1875,78.75,2.79508,4.0,1.0
1299444779688,-71.06925201,42.35794449,0.8036,0.108963,10.5013,212.0,-4.0,1.0,6.125,-10.5625,-20.5,78.75,5.5,4.0,0.997384
1299444791802,-71.06857300,42.35796356,-0.721878,-0.231546,9.61597,170.0,-4.0,-3.0,-1.5,-19.75,-15.4375,109.688,2.0,4.0,1.0
1299444803938,-71.06846619,42.35782623,-2.72407,-0.38137,10.2697,173.0,1.0,-13.0,0.75,-31.6875,-16.1875,155.742,1.75,6.0,1.0
1299444824142,-71.06841278,42.35776138,-0.8036,-0.503953,9.61597,200.0,1.0,-6.0,20.125,-47.1875,-9.8125,161.016,-1.0,12.0,0.948476
1299444852635,-71.06910706,42.35759354,-0.994285,-0.953424,10.188,201.0,-1.0,-4.0,16.0625,-45.1875,-15.9375,239.766,-1.0,8.0,0.923653
1299444880937,-71.06949615,42.35723495,-0.926184,-0.531194,9.95647,236.0,1.0,1.0,39.8125,-28.875,-13.375,309.727,2.0,6.0,0.880448
1299444888958,-71.06969452,42.35750961,-0.8036,0.531194,9.76579,231.0,-1.0,-5.0,36.25,-27.875,-15.6875,327.305,4.0,6.0,0.818242
1299444892857,-71.06977081,42.35764313,-0.531194,-0.531194,9.61597,230.0,-3.0,-3.0,32.9375,-27.875,-16.6875,333.984,3.75,8.0,0.881323
1299444900973,-71.06982422,42.35779190,-0.463092,-1.30755,10.6103,236.0,5.0,-1.0,32.375,-18.4375,-12.625,331.875,0.5,6.0,0.961391
1299444908907,-71.06959534,42.35789108,-0.572055,0.040861,9.69769,229.0,-4.0,9.0,9.9375,-11.0625,-18.4375,77.3438,2.75,6.0,0.804973
1299444910378,-71.06952667,42.35791779,1.07601,0.422231,9.80665,227.0,-1.0,5.0,10.1875,-12.625,-20.75,71.7188,3.0,6.0,0.747223
1299444910627,-71.06952667,42.35791779,0.721878,0.0,10.8418,222.0,-2.0,5.0,9.1875,-11.8125,-20.25,71.7188,3.0,6.0,0.75771
1299444910789,-71.06952667,42.35791779,0.912563,0.694638,9.80665,226.0,-5.0,7.0,9.6875,-12.0625,-20.75,71.7188,3.0,6.0,0.754296
1299444911057,-71.06952667,42.35791779,0.912563,0.694638,9.80665,224.0,4.0,4.0,8.9375,-10.8125,-20.25,71.7188,3.0,6.0,0.751309
1299444911272,-71.06952667,42.35791779,0.912563,0.694638,9.80665,230.0,-3.0,6.0,10.4375,-10.0625,-18.4375,71.7188,3.0,6.0,0.748301
1299444911480,-71.06946564,42.35793304,0.531194,0.422231,10.9916,231.0,-2.0,3.0,9.6875,-11.3125,-21.5,71.7188,3.5,6.0,0.758326
1299444911694,-71.06946564,42.35793304,0.653777,-0.422231,9.99734,223.0,3.0,4.0,8.9375,-10.8125,-19.75,71.7188,3.5,6.0,0.788752
1299444911912,-71.06946564,42.35793304,0.653777,-0.422231,9.99734,228.0,-2.0,5.0,8.6875,-11.3125,-19.75,71.7188,3.5,6.0,0.796518
1299444912128,-71.06946564,42.35793304,0.653777,-0.422231,9.99734,225.0,1.0,6.0,8.4375,-11.0625,-20.5,71.7188,3.5,6.0,0.805566
1299444912327,-71.06941223,42.35793304,0.653777,-0.422231,9.99734,226.0,-4.0,5.0,8.4375,-10.0625,-19.25,76.2891,3.75,6.0,0.820926
1299444912538,-71.06941223,42.35793304,0.653777,-0.422231,9.99734,224.0,-1.0,4.0,7.375,-10.3125,-19.0,76.2891,3.75,6.0,0.828377
1299444912797,-71.06941223,42.35793304,0.653777,-0.422231,9.99734,226.0,-3.0,4.0,8.1875,-9.5625,-18.4375,76.2891,3.75,6.0,0.835683
1299444913017,-71.06941223,42.35793304,0.653777,-0.422231,9.99734,230.0,-3.0,3.0,10.6875,-10.5625,-17.9375,76.2891,3.75,6.0,0.825771
1299444913227,-71.06941223,42.35793304,0.149824,0.313268,8.30841,228.0,-2.0,1.0,11.0,-13.125,-17.6875,76.2891,3.75,6.0,0.836693
1299444913447,-71.06941223,42.35793304,-0.422231,-0.503953,10.0791,219.0,3.0,-2.0,11.25,-14.625,-17.6875,76.2891,3.75,6.0,0.843796
1299444913615,-71.06935883,42.35794830,0.694638,-0.108963,9.3027,202.0,1.0,4.0,4.875,-20.75,-15.6875,75.2344,4.0,6.0,0.842483
1299444913730,-71.06935883,42.35794830,0.531194,0.0,10.6511,190.0,-1.0,3.0,1.25,-18.9375,-16.9375,75.2344,4.0,6.0,0.86044
1299444913847,-71.06935883,42.35794830,-0.149824,0.313268,10.3787,160.0,-2.0,-1.0,-3.5625,-9.3125,-17.4375,75.2344,4.0,6.0,0.880886
1299444914124,-71.06935883,42.35794830,-0.149824,0.313268,10.3787,229.0,-1.0,-3.0,3.3125,-1.625,-15.9375,75.2344,4.0,6.0,0.889923
1299444914348,-71.06935883,42.35794830,-0.149824,0.313268,10.3787,270.0,-1.0,-4.0,11.0,-0.125,-16.4375,75.2344,4.0,6.0,0.898699
1299444914556,-71.06929779,42.35796356,-0.149824,0.313268,10.3787,262.0,-1.0,-6.0,15.8125,-2.9375,-15.9375,72.7734,4.5,6.0,0.893923
1299444914757,-71.06929779,42.35796356,-0.149824,0.313268,10.3787,244.0,-1.0,-5.0,16.8125,-9.5625,-16.1875,72.7734,4.5,6.0,0.898844
1299444914963,-71.06929779,42.35796356,-0.149824,0.313268,10.3787,227.0,-1.0,-5.0,14.3125,-13.875,-17.6875,72.7734,4.5,6.0,0.903686
1299444915169,-71.06929779,42.35796356,-0.149824,0.313268,10.3787,216.0,-1.0,-1.0,10.4375,-15.375,-19.25,72.7734,4.5,6.0,0.909928
1299444915370,-71.06922913,42.35798645,-0.149824,0.313268,10.3787,215.0,-2.0,2.0,8.6875,-14.625,-20.25,72.0703,4.75,6.0,0.914803
1299444915577,-71.06922913,42.35798645,-0.149824,0.313268,10.3787,211.0,-2.0,1.0,6.375,-13.625,-21.25,72.0703,4.75,6.0,0.9196
